Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
NMB1019,0.159537688217711,0,0.267552877267055,0.388857530508253,0,0,0,0.14043615160339,0.0446708793150251,0,0.0123219028976725,0.104676230322168,0.059174377645902,0.0832339763380769,0.0409947307199403,0.468709821190149,0.062095009979245,0,0.00637887070506633,0.109441000845071,0.0234095216847476,0.00489290977042382,0,0.361400576800374,0.932569072067315,1.9763834790099
NMB1021,0.207865958954573,0,0.0700654681146258,0.316978771110468,0,0.127963371809065,0,0.0873276798419949,0.0295016148947962,0,0,0.145634702509676,0.0756526769949064,0.189123099501229,0.0417594142723915,0.430147251644075,0.00416264385779626,0,0.0323612760591113,0.17445213781912,0.0280065877984442,0.0168693334187017,0,0.32313949411186,0.952988519244748,1.97787198860097
NMB434,0.148943788039047,0,0.124087805046714,0.384925863259538,0,0.0727843641579637,0,0.0595795345053161,0.0760396701121954,0,0.0257264559829817,0.0695199008567507,0.0928081285555923,0.035483618922278,0.0280422333550448,0.486506170182909,0.0169921287492415,0,0.0460663117945195,0.0995068302784108,0.0150432994617047,0,0,0.401120038657895,0.915444113101684,1.78205610326021
NMB1161,0.157608848545062,0,0.0933724183229593,0.335779318921189,0,0.0609044438014185,0,0.116106617774333,0,0,0,0.207552753400739,0.108642309293645,0,0.0284087940554071,0.435201830780141,0.0351376621172362,0.020012480229808,0,0.221576636665511,0.0377195960889256,0,0,0.53142473790925,0.8491785548883,1.85802370999638
NMB1219,0.173260259286809,0,0.117939795701488,0.182998899200695,0,0.245699081734165,0,0.169774126975184,0.028344141428291,0,0,0.152148675133572,0.180079999328812,0.00799624502318987,0.0696691108525132,0.46121059980857,0.0113967897379813,0,0.0422058726140141,0.17483725761582,0.058785664855698,0,0.01,0.236407001538305,0.987908911019193,2.0763465192968
NMB1225,0.0952182004705195,0,0.00989195922877285,0.495163323571587,0,0.04846781817064,0,0.115858976457568,0,0,0,0.325686342342362,0.147916175781535,0,0.0901563700668912,0.940724466561613,0.029209564230051,0,0,0.265646468240046,0.0086468945882095,0,0,0.59225794315535,0.809334819211253,2.5725865597098
NMB1251,0.205637534770022,0,0.0221103458689477,0.0859346698744659,0.0264207735503552,0.121083079890938,0,0.086152885522174,0.00616911181966313,0.0125437792085222,0.0059456972454624,0.0887104979733809,0.0949420646761253,0.224976074247854,0.0249190363737132,0.391101243216069,0,0,0,0.547520112668902,0,0,0,0.699029819520483,0.739027627608712,1.94416690690659
NMB200,0.113449292144228,0,0.00199469274988527,0.509598391247002,0,0.0305121934980745,0.00445120284715242,0.0575267637612289,0.150005896636578,0,0,0.138657089464144,0.226529044718018,0,0.0665812574308151,0.962894908478089,0.00302677583867478,0,0.00411856346526278,0.144882434887532,0.0137006108952093,0,0,0.509728686965447,0.859967768045894,2.42792911806189
NMB254,0.0689845315693404,0.038471300410564,0.0320744644389773,0.322333221053841,0,0.159211667295863,0,0.0840792583804637,0.112971298902485,0.00501640910416509,0,0.233200561827902,0.0976870455419074,0,0.0535848868384373,0.647727319741438,0.0327268177002502,0,0,0.272162154101859,0.0233159526121367,0,0,0.536270656519171,0.844884060081119,2.18354688951963
NMB256,0.206336479123772,0,0.122603244281441,0.904749040525289,0,0.74649726159669,0.0500001157771249,0.0426324674634492,0.0892849599079662,0.255011471810891,0,0.145243004340764,0.205064081993453,0,0.552175542843282,1.6046826165151,0.0984546018405574,0,0.320017408535324,0.0699107634317045,0,0,0.18,0.0806059840999062,1.06485445117136,5.41266305998681
NMB33,0.113039359865155,0,0.0130509017858708,0.1965558515626,0,0.233385251253302,0,0.100987594040626,0.0826257190973222,0.00948508900517532,0,0.115106588684997,0.106454364208405,0,0.105170337378031,0.669139020651934,0.0116673511585367,0,0,0.130640984035783,0.016558129300267,0,0,0.62855128206163,0.794576464730635,1.903866542028
NMB361,0.114623751356142,0.0232180556497055,0.0344569891480242,0.205529624947419,0,0.137267943604483,0,0.0462396561304221,0.121954290890021,0,0,0.160483218570551,0.107540081333619,0.0822829098186201,0.0233583028239461,0.207535794408825,0.0199513626921079,0.00216265774931717,0,0.197218714436281,0.0863710369281326,0,0,0.48201533985615,0.875440919998862,1.57019439048762
NMB374,0.0701014532532005,0.0141051990709002,0.00505506419861535,0.193389927471475,0,0.201504717995192,0,0.230542666912754,0.0981865246103,0,0.161981438102478,0.0235946055764597,0.0831262220572479,0.481827667674045,0.028989538038115,0.21749009450374,0,0,0,0.231754860282859,0.0663785271838715,0,0,0.399307233023842,0.919382559987178,2.10802850693125
NMB443,0.0969721037835872,0.0292670907711642,0.0412011835186666,0.191370538279226,0,0.223562219364039,0,0.0984580907532809,0.0971657860716198,0,0.0284658922232031,0.164702419527241,0.211083351647831,0.0208395992116746,0.0341545741333475,0.170961786002146,0.0188062921059465,0,0,0.597480876257837,0.0509633842206931,0,0,0.59710780180265,0.805727063413278,2.0754551878715
NMB465,0.119081734225554,0,0.0344553831860413,0.19096235564221,0,0.149159189418161,0,0.0530101345540869,0.106107503509767,0,0,0.150768372815859,0.156726719730403,0,0.0382824384769746,0.724760394801895,0.00613683776062591,0,0,0.152379047712597,0.0163826609127668,0,0,0.511586834592898,0.85947381391721,1.89821277274694
NMB531,0.183567029290644,0,0.14240837417563,0.215086035741699,0,0.0551708928023777,0,0.124613168998163,0.061255910093967,0,0,0.208227882941619,0.144306144014078,0.0291223271035308,0.010054025506739,0.173392723392566,0.00820417213293082,0.0117806708439077,0,0.646796992669336,0.0274924374774039,0.00823808541016191,0,0.512087723331864,0.858107240386514,2.04971687259475
NMB537,0.0737439820707561,0,0.104097275798438,0.448118457940556,0,0.107642882674291,0,0.0185602162645408,0.183662304082876,0,0,0.188257257087508,0.197091441027281,0,0.200527874199657,0.972708229278863,0.0173734629706966,0,0,0.305070022968704,0.0165370940379314,0,0,0.434314442853252,0.900440747949808,2.8333905004021
NMB799,0,0.046718900889769,0.0786991265108496,0.775573670443914,0,0.0268344354389292,0,0.133665773061684,0.0265617637432586,0,0,0.128319532678041,0.151778288138584,0,0,0.108326432979423,0.0147179839204071,0.0207645134017904,0,1.03535073886734,0.104508889003914,0,0,0.53395591010712,0.846263468764669,2.65182004907791
NMB868,0.206891682142136,0,0.148641870545933,0.222137825070607,0,0.213332068533953,0,0.0413489514451408,0.133798173953967,0,0,0.0953651040485224,0.0678524396906579,0.25075499334082,0.0930119480448106,0.31579606658516,0,0,0,0.598509014569835,0.0771540061743269,0,0,0.592414453989696,0.814868317980183,2.46459414414587
NMB995,0.175748579584894,0,0.0186849740587949,0.294042207162898,0,0.147180231852246,0,0.0832773427412918,0.0227833170179527,0,0.0294726629317378,0.118248078633754,0.177905157519764,0.045406375933759,0.0256534494025321,0.365744178651359,0.00659313468751418,0.00632586040300826,0.0061839564444924,0.157436344677058,0.0630548205247346,0,0,0.41009844292313,0.911829292032881,1.74374067222779
NMB1014,0.500765403077422,0,0.0920367486275175,0.212651794119337,0,0.213925909683615,0,0.18696789876237,0.0175763918619092,0.0157993402821216,0,0.4641651151145,0.374641786366956,0.335976571751518,0.319015273587084,1.11944598446539,0.0156120218904231,0,0,0.943153512244376,0.105316199783475,0,0.53,0.0202875463793115,1.10156348529251,4.91704995161802
NMB1023,0.128708292097058,0,0.0348892424650563,0.208751437439727,0,0.195600831117361,0.0317368429707929,0.119956882933617,0,0,0,0.123440375428818,0.0818555687552237,0,0.0740893215241299,0.288031498079441,0.0210640820528047,0.00851163079158877,0.0836186900631923,0.105112822284635,0.0444578788520582,0,0,0.481604575217969,0.876619830609522,1.5498253968555
NMB1221,0.088064611320467,0,0.0058235686911543,0.102473866845666,0,0.167823230589933,0,0.0956518904165009,0,0,0,0.135565495267627,0.0840318655200997,0,0.0234343483838912,0.225317682800401,0.0314462017481249,0.0171515040708937,0,0.250654935297049,0.031860305721785,0.00814023365454014,0,0.609565804959501,0.801892653517846,1.26743974032813
NMB1275,0.18919583720307,0,0.0795753289564584,0.182640472483439,0,0.143572433532882,0.0651316987396987,0.13653461412028,0.00605367857339041,0,0.0705729008907231,0.102508563341868,0.141230079037926,0.220385398090832,0.0598791379531255,0.388843633546587,0,0.0340326529624924,0,0.279477907889272,0.0959827414949355,0,0.14,0.110630390123388,1.04277795929213,2.19561707881698
NMB148,0.28014594146732,0,0.0120115706234556,0.249648315399416,0,0.149539619071888,0,0.0929402749858187,0.0744756514481399,0,0.0483832408233528,0.0723581518661516,0.124413570579756,0.0910154120208048,0.0476875409266822,0.286052012029413,0.0229618456368731,0,0.00121222986010194,0.164712699038591,0.0139162798512869,0,0,0.518552875358785,0.857871999489885,1.73147435562905
NMB152,0.0754453169427967,0.00603127560166471,0.0234160113596077,0.416547768049309,0,0.134561618990395,0,0,0.106383162050477,0,0.142215908887702,0,0.118677258640699,0.0801657313880472,0.0767818764309212,0.427013463231793,0.0421750606642154,0,0.0824157445638631,0.10009431435949,0,0,0,0.353821763963754,0.93889625067145,1.83192451116098
NMB174,0.0432875765093179,0.0223959898082661,0.0221397984797852,0.306943562421557,0,0.0395750155262073,0,0.0497555846752073,0.0806206603823528,0,0,0.185399245076157,0.0998131455911595,0.14992110040278,0.0134195357119608,0.462105893979569,0.0125544092417127,0.015644694142806,0,0.325955962761966,0.0192860916631977,0,0,0.591361386325914,0.810887728477481,1.848818266374
NMB179,0.125874135131861,0,0.0196515228142553,0.324086584484872,0,0.178474135036765,0,0.0444065573618896,0.12649348269362,0,0,0.11403952804004,0.0744445797472094,0.163021617485536,0.0257850845332022,0.355851996775356,0,0,0,0.298903441627972,0.0263323712023921,0,0,0.389650601259922,0.923801368809627,1.87736503693497
NMB253,0.0731174954526385,0.0195852263804361,0.00848300005488067,0.163881627953056,0,0.1896134139034,0,0.0393939831174207,0.0594925153389449,0,0,0.142109794209695,0.118514326261678,0,0.0491055915233202,0.607869928938079,0.0268452271078596,0,0.0603421193479898,0.115419674857813,0.0147667948621218,0,0,0.561876529589318,0.832636703220308,1.68854071930933
