SRR15323735	SRR15323736	SRR15323737	SRR15323738	SRR15323739	SRR15323740	SRR15323741	SRR15323742	SRR15323743	SRR15323744	SRR15323745	SRR15323746	SRR15323747	SRR15323748	SRR15323749	SRR15323750	SRR15323751
ENSG00000000003	303	195	161	388	270	232	347	313	214	161	150	97	497	186	74	195	152
ENSG00000000005	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
ENSG00000000419	278	61	56	213	184	90	129	73	156	81	78	64	201	154	98	162	135
ENSG00000000457	352	373	189	479	200	217	258	208	247	97	202	67	355	191	117	128	160
ENSG00000000460	434	356	173	474	390	326	154	129	203	174	121	78	365	132	66	145	141
ENSG00000000938	10	37	0	0	13	11	11	4	22	5	1	0	30	14	45	21	0
ENSG00000000971	819	33	42	101	435	0	76	18	28	328	315	250	46	55	42	84	55
ENSG00000001036	327	326	63	254	163	114	345	215	154	67	95	54	297	113	105	210	156
ENSG00000001084	778	432	185	1226	513	221	391	490	207	196	182	81	161	165	94	117	42
ENSG00000001167	1079	1242	492	1644	915	385	579	984	866	350	321	218	648	184	159	302	281
ENSG00000001460	97	138	0	66	39	50	109	153	81	4	29	17	12	13	18	65	31
ENSG00000001461	288	488	19	620	244	175	605	1256	425	179	162	58	269	168	198	355	433
ENSG00000001497	285	119	198	533	67	64	133	145	134	32	99	27	142	97	107	135	130
ENSG00000001561	321	317	26	111	173	130	258	124	289	132	141	120	479	213	89	424	157
ENSG00000001617	76	144	35	302	38	200	111	50	40	32	20	1	15	153	101	66	20
ENSG00000001626	2	0	0	1	0	0	0	22	1	0	0	0	0	0	0	0	0
ENSG00000001629	2639	1545	718	2429	701	556	1574	1156	2619	490	494	316	1024	635	350	601	478
ENSG00000001630	2491	1190	806	2157	1980	794	1567	957	1155	651	476	338	1697	1393	621	1621	1181
ENSG00000001631	132	80	0	48	29	16	52	65	92	6	24	1	52	0	4	33	27
ENSG00000002016	306	247	97	464	43	88	161	206	105	76	723	47	223	89	75	136	50
ENSG00000002079	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000002330	129	64	60	246	142	54	76	57	107	57	56	33	101	93	46	88	90
ENSG00000002549	376	300	250	319	324	146	195	136	227	424	402	395	346	278	176	434	294
ENSG00000002586	148	100	136	188	125	12	33	148	77	98	44	57	186	122	54	181	131
ENSG00000002587	40	26	9	132	21	16	195	59	24	6	29	5	42	11	6	84	16
ENSG00000002726	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
